,지역번호,지역,2008년01월_계,2008년02월_계,2008년03월_계,2008년04월_계,2008년05월_계,2008년06월_계,2008년07월_계,2008년08월_계,2008년09월_계,2008년10월_계,2008년11월_계,2008년12월_계
2488,4420062000,충청남도 아산시 온양6동,29,35,37,27,33,49,34,42,35,41,54,34
2489,4421000000,충청남도 서산시 ,159,140,159,134,140,115,124,131,150,146,129,160
2490,4421025000,충청남도 서산시 대산읍,16,16,23,15,17,13,10,13,15,11,12,14
2491,4421031000,충청남도 서산시 인지면,4,8,6,9,11,12,9,7,7,5,7,6
2492,4421032000,충청남도 서산시 부석면,4,1,2,6,1,1,1,0,1,4,3,1
2493,4421033000,충청남도 서산시 팔봉면,1,3,0,0,1,1,0,0,2,3,2,1
2494,4421034000,충청남도 서산시 지곡면,1,0,3,2,4,3,4,2,5,6,8,5
2495,4421036000,충청남도 서산시 성연면,2,2,2,4,1,1,0,1,2,2,4,0
2496,4421037000,충청남도 서산시 음암면,10,4,11,4,10,8,13,12,12,8,10,17
2497,4421038000,충청남도 서산시 운산면,0,3,2,4,2,2,1,1,4,2,3,4
2498,4421039000,충청남도 서산시 해미면,7,4,3,1,7,4,6,2,9,4,9,2
2499,4421040000,충청남도 서산시 고북면,10,9,16,6,5,10,11,6,9,8,3,11
2500,4421051000,충청남도 서산시 부춘동,26,26,16,26,22,17,16,20,21,23,19,32
2501,4421052000,충청남도 서산시 동문동,28,0,0,0,0,0,0,0,0,0,0,0
2502,4421052500,충청남도 서산시 동문1동,0,19,16,18,16,10,14,19,21,25,15,25
2503,4421053000,충청남도 서산시 활성동,11,0,0,0,0,0,0,0,0,0,0,0
2504,4421053500,충청남도 서산시 동문2동,0,8,14,10,5,2,3,10,10,5,7,5
2505,4421054000,충청남도 서산시 수석동,17,18,14,13,15,7,15,11,14,28,8,16
2506,4421055000,충청남도 서산시 석남동,22,19,31,16,23,24,21,27,18,12,19,21
2507,4423000000,충청남도 논산시 ,96,94,88,74,67,78,76,87,82,79,61,94
2508,4423025000,충청남도 논산시 강경읍,8,9,9,8,8,13,7,5,7,4,2,3
