YYMM,경상북도 군위군 ,전라남도 함평군 ,경상북도 청송군 ,충청남도 청양군 ,경상북도 영양군 ,전라남도 신안군 ,경상북도 의성군 ,경상남도 남해군 ,경상북도 봉화군 ,전라남도 보성군 ,충청북도 괴산군 ,경상남도 산청군 ,경상남도 합천군 ,경상남도 의령군 ,경상북도 예천군 ,전라북도 임실군 ,경상북도 영덕군 ,경상북도 청도군 ,전라남도 곡성군 ,전라남도 진도군 ,충청북도 보은군 ,전라남도 장흥군 ,충청남도 서천군 ,전라북도 순창군 
1305,8103,11089,8040,9597,5705,13345,19163,15308,10105,14757,10694,10952,16407,9226,14289,9191,12362,12948,9603,9857,9802,12207,16669,8881
1306,8121,11082,8058,9601,5711,13362,19180,15321,10122,14776,10715,10974,16423,9230,14279,9190,12368,12967,9610,9873,9801,12215,16722,8891
1307,8135,11083,8067,9630,5705,13362,19181,15346,10117,14777,10747,10982,16421,9233,14276,9192,12362,12987,9620,9883,9822,12234,16743,8900
1308,8133,11099,8096,9638,5709,13376,19192,15352,10142,14788,10756,11008,16447,9244,14307,9182,12376,13024,9640,9893,9819,12247,16780,8929
1309,8145,11092,8114,9629,5702,13411,19229,15359,10179,14810,10782,11019,16447,9247,14322,9191,12385,13063,9624,9900,9826,12271,16840,8932
1310,8144,11101,8142,9651,5716,13433,19223,15366,10189,14810,10798,11040,16455,9265,14318,9204,12394,13086,9625,9883,9826,12273,16874,8963
1311,8160,11119,8149,9684,5731,13419,19193,15377,10187,14810,10804,11052,16459,9271,14316,9214,12413,13127,9630,9884,9839,12307,16899,8984
1312,8174,11115,8176,9704,5747,13438,19231,15354,10190,14818,10841,11055,16525,9273,14375,9219,12419,13169,9634,9888,9853,12342,16911,9024
1401,8202,11146,8218,9721,5773,13439,19270,15394,10208,14858,10876,11082,16551,9301,14445,9212,12459,13241,9667,9905,9884,12333,16946,9031
1402,8212,11156,8237,9740,5808,13469,19303,15451,10236,14890,10928,11111,16595,9305,14479,9217,12473,13309,9697,9890,9889,12337,16974,9042
1403,8245,11166,8270,9765,5837,13519,19348,15498,10262,14906,10970,11176,16609,9332,14514,9227,12545,13349,9697,9898,9904,12357,17005,9055
1404,8293,11165,8280,9781,5844,13539,19364,15508,10288,14917,10975,11212,16635,9354,14533,9232,12549,13391,9697,9907,9938,12353,17017,9072
1405,8310,11185,8305,9804,5855,13585,19417,15535,10320,14962,10973,11215,16673,9367,14550,9247,12577,13419,9715,9930,9951,12387,17067,9072
1406,8315,11197,8308,9818,5855,13586,19425,15528,10331,14963,10971,11223,16679,9357,14561,9249,12588,13434,9746,9913,9959,12371,17069,9083
1407,8334,11210,8303,9852,5861,13608,19444,15549,10364,15015,11016,11249,16693,9370,14586,9273,12593,13464,9777,9937,9973,12381,17099,9091
1408,8343,11223,8316,9893,5850,13610,19442,15560,10391,15052,11058,11253,16696,9395,14603,9287,12617,13512,9772,9946,10005,12396,17137,9118
1409,8348,11221,8297,9911,5848,13623,19448,15581,10388,15051,11081,11238,16689,9410,14614,9316,12632,13537,9756,9961,10011,12369,17171,9123
